#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Thu Jan 04 10:27:14 2007

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       ADC0_map.ncd
#OUTPUT FILE:      ADC0_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AG36,,IOBS,IO_L26N_15,UNUSED,,15,,,,,,,,,,
AG37,,IOBM,IO_L22P_15,UNUSED,,15,,,,,,,,,,
AG38,,IOBS,IO_L22N_15,UNUSED,,15,,,,,,,,,,
AG39,,,VCCO_15,,,15,,,,,any******,,,,,
AH1,,,GND,,,,,,,,,,,,,
AH2,,IOBS,IO_L2N_12,UNUSED,,12,,,,,,,,,,
AH3,,IOBM,IO_L2P_12,UNUSED,,12,,,,,,,,,,
AH4,,LOWCAPIOB,IO_L8N_CC_LC_12,UNUSED,,12,,,,,,,,,,
AH5,,IOBM,IO_L1P_12,UNUSED,,12,,,,,,,,,,
AH6,,,VCCO_12,,,12,,,,,any******,,,,,
AH7,,IOBS,IO_L7N_12,UNUSED,,12,,,,,,,,,,
AH8,,,VCCINT,,,,,,,,1.2,,,,,
AH9,,IOBS,IO_L19N_12,UNUSED,,12,,,,,,,,,,
AH10,,IOBM,IO_L19P_12,UNUSED,,12,,,,,,,,,,
AH11,,,GND,,,,,,,,,,,,,
AH12,,,VCCINT,,,,,,,,1.2,,,,,
AH13,,IOBM,IO_L14P_8,UNUSED,,8,,,,,,,,,,
AH14,,,VCCINT,,,,,,,,1.2,,,,,
AH15,,LOWCAPIOB,IO_L8P_D1_LC_2,UNUSED,,2,,,,,,,,,,
AH16,,,VCCO_2,,,2,,,,,any******,,,,,
AH17,,LOWCAPIOB,IO_L18P_LC_2,UNUSED,,2,,,,,,,,,,
AH18,SEG_DAT<1>,IOB,IO_L6P_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AH19,nRST,IOB,IO_L1N_GC_LC_4,INPUT,LVCMOS25,4,,,,NONE,,LOCATED,,NO,NONE,
AH20,,LOWCAPIOB,IO_L1P_GC_LC_4,UNUSED,,4,,,,,,,,,,
AH21,,,GND,,,,,,,,,,,,,
AH22,,LOWCAPIOB,IO_L31P_LC_2,UNUSED,,2,,,,,,,,,,
AH23,,LOWCAPIOB,IO_L29N_LC_2,UNUSED,,2,,,,,,,,,,
AH24,,,VCCINT,,,,,,,,1.2,,,,,
AH25,,,GND,,,,,,,,,,,,,
AH26,,,VCCINT,,,,,,,,1.2,,,,,
AH27,,,GND,,,,,,,,,,,,,
AH28,,,VCCINT,,,,,,,,1.2,,,,,
AH29,,IOBS,IO_L21N_11,UNUSED,,11,,,,,,,,,,
AH30,,IOBM,IO_L15P_11,UNUSED,,11,,,,,,,,,,
AH31,,,GND,,,,,,,,,,,,,
AH32,,IOBM,IO_L7P_11,UNUSED,,11,,,,,,,,,,
AH33,,IOBS,IO_L7N_11,UNUSED,,11,,,,,,,,,,
AH34,,LOWCAPIOB,IO_L8N_CC_LC_11,UNUSED,,11,,,,,,,,,,
AH35,,IOBS,IO_L27N_15,UNUSED,,15,,,,,,,,,,
