Release 7.1.04i - par H.42
Copyright (c) 1995-2005 Xilinx, Inc.  All rights reserved.

Wed Jul 04 00:51:38 2007


INPUT FILE:       FPGA1_map.ncd
OUTPUT FILE:      FPGA1_pad.txt
PART TYPE:        xc4vlx200
SPEED GRADE:      -10
PACKAGE:          ff1513

Pinout by Pin Number:

+----------+---------------------+---------+--------------------+---------+-----------+--------------+----------+---------+-----------+---------+---------+----------+---------+-----------+----------------+
|Pin Number|Signal Name          |Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|DCI Value|IO Register|Signal Integrity|
|AD16      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AD17      |                     |LOWCAPIOB|IO_L20N_VREF_LC_2   |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|AD18      |                     |         |VCCO_2              |         |           |2             |          |         |           |         |any******|          |         |           |                |
|AD19      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AD20      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AD21      |                     |LOWCAPIOB|IO_L19N_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |         |           |                |
|AD22      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AD23      |                     |         |GND                 |         |           |              |          |         |           |         |         |          |         |           |                |
|AD24      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AD25      |HWDATA_S0[27]        |IOB      |IO_L9P_CC_LC_11     |INPUT    |LVCMOS25   |11            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD26      |HWDATA_S0[19]        |IOB      |IO_L5P_11           |INPUT    |LVCMOS25   |11            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD27      |HWDATA_S0[15]        |IOB      |IO_L3P_11           |INPUT    |LVCMOS25   |11            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD28      |                     |         |VCCO_11             |         |           |11            |          |         |           |         |2.50     |          |         |           |                |
|AD29      |HWDATA_S0[14]        |IOB      |IO_L2N_11           |INPUT    |LVCMOS25   |11            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
|AD30      |                     |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |         |           |                |
|AD31      |HADDR_S0[28]         |IOB      |IO_L19P_15          |INPUT    |LVCMOS25   |15            |          |         |           |NONE     |         |LOCATED   |         |NO         |NONE            |
