#Release  - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Mon Dec 18 09:50:04 2006

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       U60_map.ncd
#OUTPUT FILE:      U60_pad.csv
#PART TYPE:        xc4vlx200
#SPEED GRADE:      -10
#PACKAGE:          ff1513
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
AE9,,IOBM,IO_L31P_16,UNUSED,,16,,,,,,,,,,
AE10,,,GND,,,,,,,,,,,,,
AE11,,IOBS,IO_L12N_VREF_12,UNUSED,,12,,,,,,,,,,
AE12,,IOBM,IO_L12P_12,UNUSED,,12,,,,,,,,,,
AE13,,,VCCINT,,,,,,,,1.2,,,,,
AE14,,,GND,,,,,,,,,,,,,
AE15,,,VCCINT,,,,,,,,1.2,,,,,
AE16,,,GND,,,,,,,,,,,,,
AE17,,,VCCINT,,,,,,,,1.2,,,,,
AE18,,LOWCAPIOB,IO_L20P_LC_2,UNUSED,,2,,,,,,,,,,
AE19,,,VCCINT,,,,,,,,1.2,,,,,
AE20,,,GND,,,,,,,,,,,,,
AE21,,,VCCINT,,,,,,,,1.2,,,,,
AE22,,LOWCAPIOB,IO_L19P_LC_2,UNUSED,,2,,,,,,,,,,
AE23,,LOWCAPIOB,IO_L33P_LC_2,UNUSED,,2,,,,,,,,,,
AE24,FPGA_CON<273>,IOB,IO_L9N_CC_LC_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AE25,,,VCCO_11,,,11,,,,,2.50,,,,,
AE26,FPGA_CON<265>,IOB,IO_L5N_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AE27,,,VCCINT,,,,,,,,1.2,,,,,
AE28,FPGA_CON<274>,IOB,IO_L10P_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AE29,FPGA_CON<275>,IOB,IO_L10N_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AE30,,,GND,,,,,,,,,,,,,
AE31,FPGA_CON<262>,IOB,IO_L4P_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AE32,FPGA_CON<263>,IOB,IO_L4N_VREF_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AE33,,,VCCINT,,,,,,,,1.2,,,,,
AE34,FPGA_CON<226>,IOB,IO_L18P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AE35,,,VCCO_15,,,15,,,,,2.50,,,,,
AE36,FPGA_CON<231>,IOB,IO_L20N_VREF_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AE37,FPGA_CON<222>,IOB,IO_L16P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AE38,FPGA_CON<223>,IOB,IO_L16N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AE39,FPGA_CON<214>,IOB,IO_L12P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AF1,,IOBM,IO_L26P_16,UNUSED,,16,,,,,,,,,,
AF2,,,VCCO_16,,,16,,,,,2.50,,,,,
AF3,,IOBS,IO_L32N_16,UNUSED,,16,,,,,,,,,,
AF4,,IOBM,IO_L27P_16,UNUSED,,16,,,,,,,,,,
AF5,,IOBS,IO_L29N_16,UNUSED,,16,,,,,,,,,,
AF6,,IOBM,IO_L29P_16,UNUSED,,16,,,,,,,,,,
AF7,,,GND,,,,,,,,,,,,,
AF8,,IOBS,IO_L6N_12,UNUSED,,12,,,,,,,,,,
AF9,,IOBM,IO_L6P_12,UNUSED,,12,,,,,,,,,,
AF10,,,VCCAUX,,,,,,,,2.5,,,,,
AF11,,IOBM,IO_L11P_12,UNUSED,,12,,,,,,,,,,
AF12,,,VCCO_12,,,12,,,,,any******,,,,,
AF13,,,GND,,,,,,,,,,,,,
AF14,,,VCCINT,,,,,,,,1.2,,,,,
AF15,,,GND,,,,,,,,,,,,,
AF16,,,VCCINT,,,,,,,,1.2,,,,,
AF17,,,GND,,,,,,,,,,,,,
AF18,PORST,IOB,IO_L2N_GC_LC_4,INPUT,LVCMOS25,4,,,,NONE,,LOCATED,,NO,NONE,
AF19,,LOWCAPIOB,IO_L2P_GC_LC_4,UNUSED,,4,,,,,,,,,,
AF20,SEG_DATA<4>,IOB,IO_L4N_GC_VREF_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF21,,LOWCAPIOB,IO_L17N_LC_2,UNUSED,,2,,,,,,,,,,
AF22,,,VCCO_2,,,2,,,,,any******,,,,,
AF23,,LOWCAPIOB,IO_L33N_LC_2,UNUSED,,2,,,,,,,,,,
AF24,,,VCCINT,,,,,,,,1.2,,,,,
AF25,,,GND,,,,,,,,,,,,,
AF26,,,VCCINT,,,,,,,,1.2,,,,,
AF27,,,GND,,,,,,,,,,,,,
AF28,FPGA_CON<280>,IOB,IO_L13P_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AF29,FPGA_CON<281>,IOB,IO_L13N_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AF30,,,VCCAUX,,,,,,,,2.5,,,,,
AF31,FPGA_CON<266>,IOB,IO_L6P_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AF32,,,VCCO_11,,,11,,,,,2.50,,,,,
AF33,FPGA_CON<257>,IOB,IO_L1N_11,INPUT,LVCMOS25,11,,,,NONE,,LOCATED,,NO,NONE,
AF34,FPGA_CON<238>,IOB,IO_L24P_CC_LC_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AF35,FPGA_CON<239>,IOB,IO_L24N_CC_LC_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AF36,FPGA_CON<230>,IOB,IO_L20P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AF37,,,GND,,,,,,,,,,,,,
AF38,FPGA_CON<216>,IOB,IO_L13P_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AF39,FPGA_CON<217>,IOB,IO_L13N_15,INPUT,LVCMOS25,15,,,,NONE,,LOCATED,,NO,NONE,
AG1,,IOBS,IO_L30N_16,UNUSED,,16,,,,,,,,,,
AG2,,IOBM,IO_L30P_16,UNUSED,,16,,,,,,,,,,
AG3,,IOBM,IO_L32P_16,UNUSED,,16,,,,,,,,,,
AG4,,,GND,,,,,,,,,,,,,
AG5,,IOBS,IO_L1N_12,UNUSED,,12,,,,,,,,,,
AG6,,IOBS,IO_L3N_12,UNUSED,,12,,,,,,,,,,
AG7,,IOBM,IO_L3P_12,UNUSED,,12,,,,,,,,,,
AG8,,IOBM,IO_L7P_12,UNUSED,,12,,,,,,,,,,
AG9,,,VCCO_12,,,12,,,,,any******,,,,,
AG10,,IOBS,IO_L11N_12,UNUSED,,12,,,,,,,,,,
AG11,,,VCCINT,,,,,,,,1.2,,,,,
AG12,,,GND,,,,,,,,,,,,,
AG13,,,VCCINT,,,,,,,,1.2,,,,,
AG14,,,GND,,,,,,,,,,,,,
AG15,,,VCCINT,,,,,,,,1.2,,,,,
AG16,,LOWCAPIOB,IO_L8N_D0_LC_2,UNUSED,,2,,,,,,,,,,
AG17,,LOWCAPIOB,IO_L18N_LC_2,UNUSED,,2,,,,,,,,,,
AG18,SEG_DATA<0>,IOB,IO_L6N_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG19,,,VCCO_4,,,4,,,,,2.50,,,,,
AG20,SEG_DATA<5>,IOB,IO_L4P_GC_LC_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG21,,,VCCINT,,,,,,,,1.2,,,,,
